player,team
TM Head,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad
AK Markram,Sunrisers Hyderabad
Nithish Kumar Reddy,Sunrisers Hyderabad
RA Tripathi,Sunrisers Hyderabad
H Klaasen,Sunrisers Hyderabad
Abdul Samad,Sunrisers Hyderabad
Shahbaz Ahmed,Sunrisers Hyderabad
PJ Cummins,Sunrisers Hyderabad
B Kumar,Sunrisers Hyderabad
JD Unadkat,Sunrisers Hyderabad
S Dhawan,Punjab Kings
JM Bairstow,Punjab Kings
P Simran Singh,Punjab Kings
SM Curran,Punjab Kings
Sikandar Raza,Punjab Kings
Shashank Singh,Punjab Kings
JM Sharma,Punjab Kings
Ashutosh Sharma,Punjab Kings
RD Gaikwad,Chennai Super Kings
DP Conway,Chennai Super Kings
AM Rahane,Chennai Super Kings
S Dube,Chennai Super Kings
RA Jadeja,Chennai Super Kings
MS Dhoni,Chennai Super Kings
N Jagadeesan,Kolkata Knight Riders
SP Narine,Kolkata Knight Riders
VR Iyer,Kolkata Knight Riders
N Rana,Kolkata Knight Riders
JJ Roy,Kolkata Knight Riders
RK Singh,Kolkata Knight Riders
AD Russell,Kolkata Knight Riders
D Wiese,Kolkata Knight Riders
UT Yadav,Kolkata Knight Riders
CV Varun,Kolkata Knight Riders
GC Smith,Rajasthan Royals
NV Ojha,Rajasthan Royals
SA Asnodkar,Rajasthan Royals
RA Jadeja,Rajasthan Royals
YK Pathan,Rajasthan Royals
LA Carseldine,Rajasthan Royals
AS Raut,Rajasthan Royals
SK Warne,Rajasthan Royals
SM Harwood,Rajasthan Royals
M Vijay,Chennai Super Kings
ML Hayden,Chennai Super Kings
SK Raina,Chennai Super Kings
S Badrinath,Chennai Super Kings
JDP Oram,Chennai Super Kings
RG Sharma,Mumbai Indians
Q de Kock,Mumbai Indians
SA Yadav,Mumbai Indians
SS Tiwary,Mumbai Indians
KA Pollard,Mumbai Indians
HH Pandya,Mumbai Indians
KH Pandya,Mumbai Indians
NM Coulter-Nile,Mumbai Indians
J Yadav,Mumbai Indians
JJ Bumrah,Mumbai Indians
PP Shaw,Delhi Capitals
S Dhawan,Delhi Capitals
SPD Smith,Delhi Capitals
RR Pant,Delhi Capitals
SS Iyer,Delhi Capitals
AR Patel,Delhi Capitals
SO Hetmyer,Delhi Capitals
R Ashwin,Delhi Capitals
LMP Simmons,Mumbai Indians
PA Patel,Mumbai Indians
AT Rayudu,Mumbai Indians
Harbhajan Singh,Mumbai Indians
J Suchith,Mumbai Indians
DR Smith,Chennai Super Kings
F du Plessis,Chennai Super Kings
MEK Hussey,Chennai Super Kings
DJ Bravo,Chennai Super Kings
P Negi,Chennai Super Kings
R Ashwin,Chennai Super Kings
MM Sharma,Chennai Super Kings
A Nehra,Chennai Super Kings
G Gambhir,Delhi Capitals
V Sehwag,Delhi Capitals
TM Dilshan,Delhi Capitals
MF Maharoof,Delhi Capitals
Shoaib Malik,Delhi Capitals
SE Marsh,Punjab Kings
JR Hopes,Punjab Kings
Yuvraj Singh,Punjab Kings
LA Pomersbach,Punjab Kings
DPMD Jayawardene,Punjab Kings
FY Fazal,Rajasthan Royals
R Dravid,Rajasthan Royals
AM Rahane,Rajasthan Royals
SR Watson,Rajasthan Royals
AL Menaria,Rajasthan Royals
PR Shah,Rajasthan Royals
JDP Oram,Rajasthan Royals
AA Chavan,Rajasthan Royals
SW Tait,Rajasthan Royals
ND Doshi,Rajasthan Royals
BB McCullum,Kochi Tuskers Kerala
DPMD Jayawardene,Kochi Tuskers Kerala
PA Patel,Kochi Tuskers Kerala
BJ Hodge,Kochi Tuskers Kerala
CH Gayle,Royal Challengers Bengaluru
TM Dilshan,Royal Challengers Bengaluru
V Kohli,Royal Challengers Bengaluru
UBT Chand,Delhi Capitals
DA Warner,Delhi Capitals
Y Venugopal Rao,Delhi Capitals
DPMD Jayawardene,Delhi Capitals
LRPL Taylor,Delhi Capitals
NV Ojha,Delhi Capitals
AD Russell,Delhi Capitals
IK Pathan,Delhi Capitals
P Negi,Delhi Capitals
UT Yadav,Delhi Capitals
CA Ingram,Delhi Capitals
KMA Paul,Delhi Capitals
R Tewatia,Delhi Capitals
Yuvraj Singh,Mumbai Indians
BCJ Cutting,Mumbai Indians
MJ McClenaghan,Mumbai Indians
Rasikh Salam,Mumbai Indians
KS Williamson,Sunrisers Hyderabad
N Pooran,Sunrisers Hyderabad
Washington Sundar,Sunrisers Hyderabad
Shashank Singh,Sunrisers Hyderabad
M Jansen,Sunrisers Hyderabad
WP Saha,Gujarat Titans
Shubman Gill,Gujarat Titans
HH Pandya,Gujarat Titans
DA Miller,Gujarat Titans
R Tewatia,Gujarat Titans
A Manohar,Gujarat Titans
Rashid Khan,Gujarat Titans
AM Rahane,Rising Pune Supergiants
F du Plessis,Rising Pune Supergiants
KP Pietersen,Rising Pune Supergiants
NLTC Perera,Rising Pune Supergiants
SPD Smith,Rising Pune Supergiants
MS Dhoni,Rising Pune Supergiants
IK Pathan,Rising Pune Supergiants
R Ashwin,Rising Pune Supergiants
M Vijay,Punjab Kings
M Vohra,Punjab Kings
DA Miller,Punjab Kings
GJ Maxwell,Punjab Kings
WP Saha,Punjab Kings
MA Agarwal,Punjab Kings
LS Livingstone,Punjab Kings
M Shahrukh Khan,Punjab Kings
OF Smith,Punjab Kings
Ishan Kishan,Mumbai Indians
D Brevis,Mumbai Indians
Tilak Varma,Mumbai Indians
JD Unadkat,Mumbai Indians
M Ashwin,Mumbai Indians
TS Mills,Mumbai Indians
PA Patel,Chennai Super Kings
L Ronchi,Mumbai Indians
ST Jayasuriya,Mumbai Indians
RV Uthappa,Mumbai Indians
SM Pollock,Mumbai Indians
DJ Bravo,Mumbai Indians
AM Nayar,Mumbai Indians
MA Khote,Mumbai Indians
A Nehra,Mumbai Indians
BB McCullum,Chennai Super Kings
M Manhas,Chennai Super Kings
AM Nayar,Rajasthan Royals
SV Samson,Rajasthan Royals
SPD Smith,Rajasthan Royals
STR Binny,Rajasthan Royals
R Bhatia,Rajasthan Royals
JP Faulkner,Rajasthan Royals
TG Southee,Rajasthan Royals
DS Kulkarni,Rajasthan Royals
PV Tambe,Rajasthan Royals
B Sai Sudharsan,Gujarat Titans
JC Buttler,Gujarat Titans
M Shahrukh Khan,Gujarat Titans
SE Rutherford,Gujarat Titans
K Rabada,Gujarat Titans
R Sai Kishore,Gujarat Titans
RD Rickelton,Mumbai Indians
R Minz,Mumbai Indians
Naman Dhir,Mumbai Indians
MJ Santner,Mumbai Indians
RS Bopara,Punjab Kings
K Goel,Punjab Kings
IK Pathan,Punjab Kings
KC Sangakkara,Punjab Kings
T Kohli,Punjab Kings
PP Chawla,Punjab Kings
BB McCullum,Kolkata Knight Riders
CH Gayle,Kolkata Knight Riders
BJ Hodge,Kolkata Knight Riders
RE Levi,Mumbai Indians
DJ Jacobs,Mumbai Indians
KD Karthik,Mumbai Indians
CJ McKay,Mumbai Indians
RP Singh,Mumbai Indians
PP Ojha,Mumbai Indians
MM Patel,Mumbai Indians
KP Pietersen,Delhi Capitals
Ishan Kishan,Sunrisers Hyderabad
Aniket Verma,Sunrisers Hyderabad
A Manohar,Sunrisers Hyderabad
PD Salt,Royal Challengers Bengaluru
MA Agarwal,Royal Challengers Bengaluru
RM Patidar,Royal Challengers Bengaluru
JM Sharma,Royal Challengers Bengaluru
R Shepherd,Royal Challengers Bengaluru
TH David,Royal Challengers Bengaluru
KH Pandya,Royal Challengers Bengaluru
B Kumar,Royal Challengers Bengaluru
Yash Dayal,Royal Challengers Bengaluru
L Ngidi,Royal Challengers Bengaluru
JC Buttler,Rajasthan Royals
D Padikkal,Rajasthan Royals
DJ Mitchell,Rajasthan Royals
SO Hetmyer,Rajasthan Royals
R Parag,Rajasthan Royals
R Ashwin,Rajasthan Royals
TA Boult,Rajasthan Royals
TH David,Mumbai Indians
DR Sams,Mumbai Indians
MA Agarwal,Delhi Capitals
M Vijay,Delhi Capitals
KD Karthik,Delhi Capitals
MK Tiwary,Delhi Capitals
JP Duminy,Delhi Capitals
PA Patel,Royal Challengers Bengaluru
NJ Maddinson,Royal Challengers Bengaluru
Yuvraj Singh,Royal Challengers Bengaluru
PC Valthaty,Rajasthan Royals
RJ Quiney,Rajasthan Royals
AD Mascarenhas,Rajasthan Royals
LR Shukla,Kolkata Knight Riders
SC Ganguly,Kolkata Knight Riders
SB Bangar,Kolkata Knight Riders
Yashpal Singh,Kolkata Knight Riders
AB Agarkar,Kolkata Knight Riders
I Sharma,Kolkata Knight Riders
AK Markram,Lucknow Super Giants
MR Marsh,Lucknow Super Giants
N Pooran,Lucknow Super Giants
RR Pant,Lucknow Super Giants
A Badoni,Lucknow Super Giants
DA Miller,Lucknow Super Giants
Abdul Samad,Lucknow Super Giants
SN Thakur,Lucknow Super Giants
Avesh Khan,Lucknow Super Giants
Priyansh Arya,Punjab Kings
SS Iyer,Punjab Kings
N Wadhera,Punjab Kings
RA Jadeja,Kochi Tuskers Kerala
KM Jadhav,Kochi Tuskers Kerala
RV Gomez,Kochi Tuskers Kerala
R Vinay Kumar,Kochi Tuskers Kerala
RR Powar,Kochi Tuskers Kerala
MS Bisla,Kolkata Knight Riders
JH Kallis,Kolkata Knight Riders
G Gambhir,Kolkata Knight Riders
MK Tiwary,Kolkata Knight Riders
EJG Morgan,Kolkata Knight Riders
Shakib Al Hasan,Kolkata Knight Riders
YK Pathan,Kolkata Knight Riders
R Bhatia,Kolkata Knight Riders
B Lee,Kolkata Knight Riders
Iqbal Abdulla,Kolkata Knight Riders
L Balaji,Kolkata Knight Riders
UBT Chand,Mumbai Indians
KK Nair,Rajasthan Royals
DJ Hooda,Rajasthan Royals
J Theron,Rajasthan Royals
RV Uthappa,Pune Warriors
JD Ryder,Pune Warriors
SC Ganguly,Pune Warriors
SPD Smith,Pune Warriors
AD Mathews,Pune Warriors
Y Nagar,Delhi Capitals
M Morkel,Delhi Capitals
AC Gilchrist,Deccan Chargers
HH Gibbs,Deccan Chargers
AA Bilakhia,Deccan Chargers
RG Sharma,Deccan Chargers
TL Suman,Deccan Chargers
DR Smith,Deccan Chargers
Y Venugopal Rao,Deccan Chargers
Shoaib Ahmed,Deccan Chargers
RP Singh,Deccan Chargers
PP Ojha,Deccan Chargers
AB de Villiers,Delhi Capitals
M Manhas,Delhi Capitals
YBK Jaiswal,Rajasthan Royals
Dhruv Jurel,Rajasthan Royals
AT Rayudu,Chennai Super Kings
MM Ali,Chennai Super Kings
DJ Mitchell,Chennai Super Kings
Q de Kock,Lucknow Super Giants
MP Stoinis,Lucknow Super Giants
KL Rahul,Lucknow Super Giants
D Padikkal,Lucknow Super Giants
DJ Hooda,Lucknow Super Giants
Q de Kock,Delhi Capitals
Yuvraj Singh,Delhi Capitals
JA Morkel,Delhi Capitals
KM Jadhav,Delhi Capitals
PD Salt,Kolkata Knight Riders
SS Iyer,Kolkata Knight Riders
Ramandeep Singh,Kolkata Knight Riders
MA Starc,Kolkata Knight Riders
N Wadhera,Mumbai Indians
A Kamboj,Mumbai Indians
PP Chawla,Mumbai Indians
SN Thakur,Chennai Super Kings
Anmolpreet Singh,Mumbai Indians
AF Milne,Mumbai Indians
RD Chahar,Mumbai Indians
B Chipli,Royal Challengers Bengaluru
W Jaffer,Royal Challengers Bengaluru
JH Kallis,Royal Challengers Bengaluru
Misbah-ul-Haq,Royal Challengers Bengaluru
R Dravid,Royal Challengers Bengaluru
MV Boucher,Royal Challengers Bengaluru
P Kumar,Royal Challengers Bengaluru
VVS Laxman,Deccan Chargers
Shahid Afridi,Deccan Chargers
SB Styris,Deccan Chargers
SB Bangar,Deccan Chargers
AS Yadav,Deccan Chargers
MJ Guptill,Mumbai Indians
JC Buttler,Mumbai Indians
DA Warner,Sunrisers Hyderabad
S Dhawan,Sunrisers Hyderabad
MC Henriques,Sunrisers Hyderabad
EJG Morgan,Sunrisers Hyderabad
DJ Hooda,Sunrisers Hyderabad
RV Uthappa,Chennai Super Kings
D Pretorius,Chennai Super Kings
MK Pandey,Lucknow Super Giants
E Lewis,Lucknow Super Giants
P Nissanka,Delhi Capitals
KL Rahul,Delhi Capitals
N Rana,Delhi Capitals
Sameer Rizvi,Delhi Capitals
DA Miller,Delhi Capitals
T Stubbs,Delhi Capitals
Ashutosh Sharma,Delhi Capitals
Kuldeep Yadav,Delhi Capitals
L Ngidi,Delhi Capitals
BA Stokes,Rajasthan Royals
AJ Turner,Rajasthan Royals
SE Rutherford,Delhi Capitals
CA Pujara,Punjab Kings
V Sehwag,Punjab Kings
GJ Bailey,Punjab Kings
R Dhawan,Punjab Kings
AR Patel,Punjab Kings
MG Johnson,Punjab Kings
L Balaji,Punjab Kings
Sandeep Sharma,Punjab Kings
MK Pandey,Kolkata Knight Riders
CA Lynn,Kolkata Knight Riders
RV Uthappa,Kolkata Knight Riders
SA Yadav,Kolkata Knight Riders
PP Chawla,Kolkata Knight Riders
M Morkel,Kolkata Knight Riders
M Markande,Mumbai Indians
MM Ali,Royal Challengers Bengaluru
AB de Villiers,Royal Challengers Bengaluru
SO Hetmyer,Royal Challengers Bengaluru
C de Grandhomme,Royal Challengers Bengaluru
S Dube,Royal Challengers Bengaluru
Yuvraj Singh,Sunrisers Hyderabad
BCJ Cutting,Sunrisers Hyderabad
Mandeep Singh,Royal Challengers Bengaluru
TM Head,Royal Challengers Bengaluru
KM Jadhav,Royal Challengers Bengaluru
SR Watson,Royal Challengers Bengaluru
Sachin Baby,Royal Challengers Bengaluru
STR Binny,Royal Challengers Bengaluru
S Aravind,Royal Challengers Bengaluru
YS Chahal,Royal Challengers Bengaluru
TS Mills,Royal Challengers Bengaluru
A Choudhary,Royal Challengers Bengaluru
PK Garg,Sunrisers Hyderabad
R Shepherd,Sunrisers Hyderabad
J Suchith,Sunrisers Hyderabad
Umran Malik,Sunrisers Hyderabad
PN Mankad,Punjab Kings
Mandeep Singh,Punjab Kings
AC Gilchrist,Punjab Kings
DJ Hussey,Punjab Kings
Gurkeerat Singh,Punjab Kings
Azhar Mahmood,Punjab Kings
R Sathish,Punjab Kings
RJ Harris,Punjab Kings
P Kumar,Punjab Kings
P Awana,Punjab Kings
Shubman Gill,Kolkata Knight Riders
RA Tripathi,Kolkata Knight Riders
KD Karthik,Kolkata Knight Riders
PJ Cummins,Kolkata Knight Riders
KL Nagarkoti,Kolkata Knight Riders
RV Uthappa,Rajasthan Royals
R Tewatia,Rajasthan Royals
S Gopal,Rajasthan Royals
JC Archer,Rajasthan Royals
Kartik Tyagi,Rajasthan Royals
VR Aaron,Rajasthan Royals
WG Jacks,Mumbai Indians
C Bosch,Mumbai Indians
DL Chahar,Mumbai Indians
KV Sharma,Mumbai Indians
G Coetzee,Gujarat Titans
Arshad Khan,Gujarat Titans
WP Saha,Sunrisers Hyderabad
MK Pandey,Sunrisers Hyderabad
Shakib Al Hasan,Sunrisers Hyderabad
YK Pathan,Sunrisers Hyderabad
Mohammad Nabi,Sunrisers Hyderabad
Rashid Khan,Sunrisers Hyderabad
Basil Thampi,Sunrisers Hyderabad
S Kaul,Sunrisers Hyderabad
Sandeep Sharma,Sunrisers Hyderabad
E Lewis,Mumbai Indians
Mustafizur Rahman,Mumbai Indians
MS Bisla,Royal Challengers Bengaluru
RR Rossouw,Royal Challengers Bengaluru
KD Karthik,Royal Challengers Bengaluru
SN Khan,Royal Challengers Bengaluru
D Wiese,Royal Challengers Bengaluru
HV Patel,Royal Challengers Bengaluru
MA Starc,Royal Challengers Bengaluru
MK Pandey,Pune Warriors
Yuvraj Singh,Pune Warriors
Harpreet Singh,Pune Warriors
M Manhas,Pune Warriors
NL McCullum,Pune Warriors
R Sharma,Pune Warriors
J Botha,Rajasthan Royals
LRPL Taylor,Rajasthan Royals
JA Morkel,Chennai Super Kings
MJ Lumb,Rajasthan Royals
AA Jhunjhunwala,Rajasthan Royals
HC Brook,Sunrisers Hyderabad
MA Agarwal,Sunrisers Hyderabad
GD Phillips,Sunrisers Hyderabad
AU Rashid,Sunrisers Hyderabad
MP Stoinis,Delhi Capitals
GJ Maxwell,Delhi Capitals
V Shankar,Delhi Capitals
Abhishek Sharma,Delhi Capitals
HV Patel,Delhi Capitals
SR Watson,Chennai Super Kings
SW Billings,Chennai Super Kings
DL Chahar,Chennai Super Kings
V Suryavanshi,Rajasthan Royals
D Ferreira,Rajasthan Royals
Kumar Kushagra,Gujarat Titans
GD Phillips,Gujarat Titans
Washington Sundar,Gujarat Titans
Ashok Sharma,Gujarat Titans
MR Marsh,Delhi Capitals
Abishek Porel,Delhi Capitals
R Ravindra,Chennai Super Kings
Sameer Rizvi,Chennai Super Kings
PA Patel,Deccan Chargers
CL White,Deccan Chargers
S Dhawan,Deccan Chargers
KC Sangakkara,Deccan Chargers
JP Duminy,Deccan Chargers
BB Samantray,Deccan Chargers
MJ Clarke,Pune Warriors
MN Samuels,Pune Warriors
DR Smith,Mumbai Indians
SR Tendulkar,Mumbai Indians
MG Johnson,Mumbai Indians
DB Das,Kolkata Knight Riders
R McLaren,Kolkata Knight Riders
MD Mishra,Deccan Chargers
A Symonds,Deccan Chargers
MR Marsh,Deccan Chargers
B Sumanth,Deccan Chargers
WPUJC Vaas,Deccan Chargers
R Sharma,Deccan Chargers
PD Collingwood,Delhi Capitals
A Mishra,Delhi Capitals
A Nehra,Delhi Capitals
S Vidyut,Chennai Super Kings
SP Fleming,Chennai Super Kings
CK Kapugedera,Chennai Super Kings
NV Ojha,Sunrisers Hyderabad
V Shankar,Sunrisers Hyderabad
N Rana,Mumbai Indians
CJ Ferguson,Pune Warriors
S Rana,Pune Warriors
WD Parnell,Pune Warriors
SP Goswami,Kolkata Knight Riders
JPR Scantlebury-Searles,Kolkata Knight Riders
KL Rahul,Punjab Kings
CH Gayle,Punjab Kings
KK Nair,Punjab Kings
AJ Finch,Punjab Kings
R Ashwin,Punjab Kings
AJ Tye,Punjab Kings
BB Sran,Punjab Kings
MM Sharma,Punjab Kings
SN Khan,Punjab Kings
AK Markram,Punjab Kings
MC Henriques,Punjab Kings
SN Khan,Delhi Capitals
RR Rossouw,Delhi Capitals
Aman Hakim Khan,Delhi Capitals
A Nortje,Delhi Capitals
V Shankar,Gujarat Titans
DT Christian,Royal Challengers Bengaluru
KK Nair,Royal Challengers Bengaluru
KB Arun Karthik,Royal Challengers Bengaluru
RT Ponting,Mumbai Indians
CH Morris,Chennai Super Kings
B Laughlin,Chennai Super Kings
RK Bhui,Delhi Capitals
OC McCoy,Rajasthan Royals
MS Wade,Gujarat Titans
HM Amla,Punjab Kings
MP Stoinis,Punjab Kings
BB McCullum,Gujarat Lions
AJ Finch,Gujarat Lions
SK Raina,Gujarat Lions
KD Karthik,Gujarat Lions
RA Jadeja,Gujarat Lions
DR Smith,Gujarat Lions
AD Nath,Gujarat Lions
AJ Tye,Gujarat Lions
Basil Thampi,Gujarat Lions
AJ Finch,Sunrisers Hyderabad
KL Rahul,Sunrisers Hyderabad
Y Venugopal Rao,Sunrisers Hyderabad
DJG Sammy,Sunrisers Hyderabad
KV Sharma,Sunrisers Hyderabad
MP Stoinis,Royal Challengers Bengaluru
NS Naik,Punjab Kings
AP Tare,Sunrisers Hyderabad
F du Plessis,Royal Challengers Bengaluru
GJ Maxwell,Royal Challengers Bengaluru
Kartik Tyagi,Sunrisers Hyderabad
Fazalhaq Farooqi,Sunrisers Hyderabad
Anureet Singh,Punjab Kings
Karanveer Singh,Punjab Kings
BB McCullum,Royal Challengers Bengaluru
M Ashwin,Royal Challengers Bengaluru
TG Southee,Royal Challengers Bengaluru
UT Yadav,Royal Challengers Bengaluru
Mohammed Siraj,Royal Challengers Bengaluru
DR Shorey,Chennai Super Kings
Rahmanullah Gurbaz,Kolkata Knight Riders
AM Rahane,Kolkata Knight Riders
A Raghuvanshi,Kolkata Knight Riders
R Powell,Kolkata Knight Riders
AS Roy,Kolkata Knight Riders
Harshit Rana,Kolkata Knight Riders
KK Nair,Delhi Capitals
F du Plessis,Delhi Capitals
V Nigam,Delhi Capitals
MA Starc,Delhi Capitals
PVD Chameera,Delhi Capitals
AD Nath,Royal Challengers Bengaluru
P Negi,Royal Challengers Bengaluru
CH Morris,Delhi Capitals
IK Pathan,Sunrisers Hyderabad
DW Steyn,Sunrisers Hyderabad
A Mishra,Sunrisers Hyderabad
KW Richardson,Rajasthan Royals
BJ Hodge,Rajasthan Royals
OA Shah,Rajasthan Royals
KK Cooper,Rajasthan Royals
PC Valthaty,Punjab Kings
AM Nayar,Punjab Kings
Bipul Sharma,Punjab Kings
JP Faulkner,Punjab Kings
Harmeet Singh,Punjab Kings
AJ Finch,Pune Warriors
LRPL Taylor,Pune Warriors
TL Suman,Pune Warriors
MR Marsh,Pune Warriors
AM Nayar,Pune Warriors
B Kumar,Pune Warriors
M Kaif,Punjab Kings
MS Bisla,Punjab Kings
J Theron,Punjab Kings
RR Powar,Punjab Kings
MS Gony,Chennai Super Kings
MJ Guptill,Punjab Kings
AJ Finch,Delhi Capitals
KD Karthik,Punjab Kings
Sunny Singh,Punjab Kings
OA Shah,Kochi Tuskers Kerala
C de Grandhomme,Kolkata Knight Riders
GJ Maxwell,Mumbai Indians
AP Tare,Mumbai Indians
R Dhawan,Mumbai Indians
SL Malinga,Mumbai Indians
MEK Hussey,Mumbai Indians
CJ Anderson,Mumbai Indians
KH Pandya,Lucknow Super Giants
IR Jaggi,Deccan Chargers
B Chipli,Deccan Chargers
DT Christian,Deccan Chargers
DB Ravi Teja,Deccan Chargers
DW Steyn,Deccan Chargers
A Mishra,Deccan Chargers
I Sharma,Deccan Chargers
A Ashish Reddy,Sunrisers Hyderabad
GH Vihari,Sunrisers Hyderabad
N Pooran,Punjab Kings
DJ Hooda,Punjab Kings
JDS Neesham,Punjab Kings
CJ Jordan,Punjab Kings
DJ Harris,Deccan Chargers
SMSM Senanayake,Kolkata Knight Riders
JP Inglis,Lucknow Super Giants
LG Pretorius,Rajasthan Royals
Mujeeb Ur Rahman,Punjab Kings
Mohammed Shami,Punjab Kings
M Ashwin,Punjab Kings
DJ Thornely,Mumbai Indians
PR Shah,Mumbai Indians
S Chanderpaul,Royal Challengers Bengaluru
LRPL Taylor,Royal Challengers Bengaluru
B Akhil,Royal Challengers Bengaluru
Lalit Yadav,Delhi Capitals
R Powell,Delhi Capitals
SN Thakur,Delhi Capitals
SW Billings,Kolkata Knight Riders
Rasikh Salam,Kolkata Knight Riders
Anirudh Singh,Deccan Chargers
Jaskaran Singh,Deccan Chargers
AB Barath,Punjab Kings
S Sreesanth,Punjab Kings
SS Tiwary,Royal Challengers Bengaluru
R Rampaul,Royal Challengers Bengaluru
LJ Wright,Pune Warriors
AG Murtaza,Pune Warriors
IC Pandey,Pune Warriors
AB Dinda,Pune Warriors
D Padikkal,Royal Challengers Bengaluru
AJ Finch,Royal Challengers Bengaluru
JR Philippe,Royal Challengers Bengaluru
Washington Sundar,Royal Challengers Bengaluru
Navdeep Saini,Royal Challengers Bengaluru
DW Steyn,Royal Challengers Bengaluru
RN ten Doeschate,Kolkata Knight Riders
GB Hogg,Kolkata Knight Riders
AA Kulkarni,Lucknow Super Giants
MD Choudhary,Lucknow Super Giants
Arjun Tendulkar,Lucknow Super Giants
C Connolly,Punjab Kings
Suryansh Shedge,Punjab Kings
SV Samson,Delhi Capitals
CR Brathwaite,Delhi Capitals
NM Coulter-Nile,Delhi Capitals
Z Khan,Delhi Capitals
RT Ponting,Kolkata Knight Riders
WP Saha,Kolkata Knight Riders
DJ Hussey,Kolkata Knight Riders
Mohammad Hafeez,Kolkata Knight Riders
M Kartik,Kolkata Knight Riders
Anuj Rawat,Royal Challengers Bengaluru
SS Prabhudessai,Royal Challengers Bengaluru
Shahbaz Ahmed,Royal Challengers Bengaluru
DL Vettori,Delhi Capitals
CL White,Royal Challengers Bengaluru
KP Pietersen,Royal Challengers Bengaluru
RV Uthappa,Royal Challengers Bengaluru
R Vinay Kumar,Royal Challengers Bengaluru
A Mithun,Royal Challengers Bengaluru
KP Appanna,Royal Challengers Bengaluru
A Kumble,Royal Challengers Bengaluru
Sohail Tanvir,Rajasthan Royals
M Kaif,Rajasthan Royals
M Rawat,Rajasthan Royals
SK Trivedi,Rajasthan Royals
Mohammad Asif,Delhi Capitals
VY Mahesh,Delhi Capitals
GD McGrath,Delhi Capitals
RA Tripathi,Rising Pune Supergiants
MK Tiwary,Rising Pune Supergiants
DT Christian,Rising Pune Supergiants
DM Bravo,Kolkata Knight Riders
M Klinger,Kochi Tuskers Kerala
MV Boucher,Kolkata Knight Riders
KS Bharat,Royal Challengers Bengaluru
KA Jamieson,Royal Challengers Bengaluru
TA Boult,Mumbai Indians
J Fraser-McGurk,Delhi Capitals
SD Hope,Delhi Capitals
Gulbadin Naib,Delhi Capitals
Rasikh Salam,Delhi Capitals
SB Dubey,Rajasthan Royals
R Powell,Rajasthan Royals
Avesh Khan,Rajasthan Royals
CH Morris,Rajasthan Royals
JO Holder,Kolkata Knight Riders
LR Shukla,Delhi Capitals
R Shukla,Delhi Capitals
AD Mascarenhas,Punjab Kings
TK Curran,Rajasthan Royals
SM Curran,Chennai Super Kings
KM Jadhav,Chennai Super Kings
