player,team
S Sohal,Deccan Chargers
MJ Santner,Chennai Super Kings
Harbhajan Singh,Chennai Super Kings
RA Bawa,Mumbai Indians
JG Bethell,Royal Challengers Bengaluru
Rasikh Salam,Royal Challengers Bengaluru
DL Vettori,Royal Challengers Bengaluru
Salman Butt,Kolkata Knight Riders
A Chopra,Kolkata Knight Riders
T Taibu,Kolkata Knight Riders
AN Ghosh,Kolkata Knight Riders
AD Mathews,Kolkata Knight Riders
JD Ryder,Royal Challengers Bengaluru
Vishnu Vinod,Mumbai Indians
C Green,Mumbai Indians
Noor Ahmad,Gujarat Titans
AS Joseph,Gujarat Titans
JA Richardson,Punjab Kings
M Vohra,Rajasthan Royals
S Dube,Rajasthan Royals
UT Khawaja,Rising Pune Supergiants
GJ Bailey,Rising Pune Supergiants
A Ashish Reddy,Deccan Chargers
AA Jhunjhunwala,Deccan Chargers
LPC Silva,Deccan Chargers
M Jansen,Punjab Kings
XC Bartlett,Punjab Kings
AS Rajpoot,Punjab Kings
KL Rahul,Royal Challengers Bengaluru
JM Bairstow,Sunrisers Hyderabad
Virat Singh,Sunrisers Hyderabad
KM Jadhav,Sunrisers Hyderabad
PBB Rajapaksa,Punjab Kings
Harpreet Brar,Punjab Kings
R Bhatia,Delhi Capitals
PJ Sangwan,Delhi Capitals
SD Lad,Mumbai Indians
AS Joseph,Mumbai Indians
A Mhatre,Chennai Super Kings
SK Rasheed,Chennai Super Kings
D Brevis,Chennai Super Kings
ER Dwivedi,Gujarat Lions
DJ Bravo,Gujarat Lions
DS Kulkarni,Gujarat Lions
Bipul Sharma,Sunrisers Hyderabad
AD Hales,Sunrisers Hyderabad
M Vohra,Royal Challengers Bengaluru
MM Sharma,Delhi Capitals
JA Morkel,Rising Pune Supergiants
R Bhatia,Rising Pune Supergiants
R Sathish,Kolkata Knight Riders
RA Bawa,Punjab Kings
TL Seifert,Kolkata Knight Riders
C Green,Kolkata Knight Riders
Himmat Singh,Lucknow Super Giants
GF Linde,Lucknow Super Giants
Mohammed Shami,Lucknow Super Giants
Prince Yadav,Lucknow Super Giants
TL Seifert,Delhi Capitals
Mandeep Singh,Delhi Capitals
SV Samson,Chennai Super Kings
Urvil Patel,Chennai Super Kings
SN Khan,Chennai Super Kings
Kartik Sharma,Chennai Super Kings
J Overton,Chennai Super Kings
Kuldeep Yadav,Kolkata Knight Riders
M Prasidh Krishna,Kolkata Knight Riders
HF Gurney,Kolkata Knight Riders
DJM Short,Rajasthan Royals
RA Tripathi,Rajasthan Royals
K Gowtham,Rajasthan Royals
JD Unadkat,Rajasthan Royals
PHKD Mendis,Sunrisers Hyderabad
RA Tripathi,Chennai Super Kings
V Shankar,Chennai Super Kings
H Klaasen,Rajasthan Royals
B Laughlin,Rajasthan Royals
Arshad Khan,Lucknow Super Giants
R Shepherd,Mumbai Indians
NT Ellis,Punjab Kings
MW Short,Chennai Super Kings
Noor Ahmad,Chennai Super Kings
MJ Henry,Chennai Super Kings
A Kamboj,Chennai Super Kings
IS Sodhi,Rajasthan Royals
Anureet Singh,Rajasthan Royals
Anmolpreet Singh,Sunrisers Hyderabad
MK Pandey,Royal Challengers Bengaluru
RE van der Merwe,Royal Challengers Bengaluru
RJ Harris,Deccan Chargers
BB Sran,Sunrisers Hyderabad
SS Tiwary,Rising Pune Supergiants
A Zampa,Rising Pune Supergiants
BA Stokes,Chennai Super Kings
M Morkel,Rajasthan Royals
MM Patel,Rajasthan Royals
SN Thakur,Kolkata Knight Riders
NK Patel,Rajasthan Royals
CR Brathwaite,Kolkata Knight Riders
S Arora,Sunrisers Hyderabad
Akshat Raghuwanshi,Lucknow Super Giants
Shahbaz Ahmed,Lucknow Super Giants
PR Veer,Chennai Super Kings
SP Goswami,Rajasthan Royals
AM Rahane,Delhi Capitals
K Rabada,Delhi Capitals
TU Deshpande,Delhi Capitals
MA Wood,Chennai Super Kings
Imran Tahir,Chennai Super Kings
LS Livingstone,Royal Challengers Bengaluru
MS Bhandage,Royal Challengers Bengaluru
JR Hazlewood,Royal Challengers Bengaluru
JP Inglis,Punjab Kings
TR Birt,Delhi Capitals
RE van der Merwe,Delhi Capitals
JJ Roy,Sunrisers Hyderabad
JO Holder,Sunrisers Hyderabad
KC Cariappa,Punjab Kings
Ishan Kishan,Gujarat Lions
JP Faulkner,Gujarat Lions
P Kumar,Gujarat Lions
AP Dole,Rajasthan Royals
S Badree,Royal Challengers Bengaluru
WA Mota,Punjab Kings
I Malhotra,Deccan Chargers
JR Hopes,Delhi Capitals
NLTC Perera,Punjab Kings
N Saini,Punjab Kings
PA Patel,Sunrisers Hyderabad
CL White,Sunrisers Hyderabad
NLTC Perera,Sunrisers Hyderabad
BB Samantray,Sunrisers Hyderabad
DH Yagnik,Rajasthan Royals
VR Iyer,Royal Challengers Bengaluru
CM Gautam,Mumbai Indians
FA Allen,Mumbai Indians
SB Joshi,Royal Challengers Bengaluru
Z Khan,Royal Challengers Bengaluru
AG Paunikar,Rajasthan Royals
A Singh,Rajasthan Royals
JM Kemp,Chennai Super Kings
MK Lomror,Rajasthan Royals
AS Rajpoot,Rajasthan Royals
UBT Chand,Rajasthan Royals
Ankit Sharma,Rajasthan Royals
AJ Hosein,Chennai Super Kings
R Smaran,Sunrisers Hyderabad
BB Sran,Mumbai Indians
Ramandeep Singh,Mumbai Indians
T Kohli,Rajasthan Royals
DS Lehmann,Rajasthan Royals
D Salunkhe,Rajasthan Royals
R McLaren,Punjab Kings
NJ Rimmington,Punjab Kings
GC Smith,Pune Warriors
P Dogra,Punjab Kings
Q de Kock,Sunrisers Hyderabad
X Thalaivan Sargunam,Sunrisers Hyderabad
WG Jacks,Royal Challengers Bengaluru
LA Pomersbach,Royal Challengers Bengaluru
M Kaif,Royal Challengers Bengaluru
R McLaren,Mumbai Indians
JP Duminy,Mumbai Indians
Pankaj Singh,Royal Challengers Bengaluru
RV Gomez,Pune Warriors
B Chipli,Delhi Capitals
BJ Rohrer,Delhi Capitals
CM Gautam,Delhi Capitals
S Nadeem,Delhi Capitals
AD Mathews,Delhi Capitals
N Rana,Rajasthan Royals
M Kartik,Pune Warriors
JEC Franklin,Mumbai Indians
J Botha,Delhi Capitals
MC Juneja,Delhi Capitals
PA Reddy,Sunrisers Hyderabad
KC Sangakkara,Sunrisers Hyderabad
MC Henriques,Delhi Capitals
S Ladda,Delhi Capitals
DP Nannes,Delhi Capitals
MN Samuels,Delhi Capitals
CJ Anderson,Delhi Capitals
PJ Cummins,Delhi Capitals
Mohammed Shami,Delhi Capitals
BJ Haddin,Kolkata Knight Riders
LS Livingstone,Rajasthan Royals
KS Bharat,Delhi Capitals
RV Patel,Delhi Capitals
KK Ahmed,Delhi Capitals
S Anirudha,Sunrisers Hyderabad
AJ Finch,Mumbai Indians
CR Woakes,Kolkata Knight Riders
NM Coulter-Nile,Kolkata Knight Riders
JJ Roy,Delhi Capitals
Swapnil Singh,Punjab Kings
CJ Jordan,Mumbai Indians
K Kartikeya,Mumbai Indians
JP Behrendorff,Mumbai Indians
GHS Garton,Royal Challengers Bengaluru
Sanvir Singh,Sunrisers Hyderabad
V Viyaskanth,Sunrisers Hyderabad
KR Mayers,Lucknow Super Giants
K Gowtham,Lucknow Super Giants
MA Wood,Lucknow Super Giants
DJG Sammy,Royal Challengers Bengaluru
SA Abbott,Royal Challengers Bengaluru
AN Ahmed,Royal Challengers Bengaluru
S Dhawan,Mumbai Indians
R Sathish,Mumbai Indians
STR Binny,Mumbai Indians
VR Aaron,Punjab Kings
Younis Khan,Rajasthan Royals
Kamran Akmal,Rajasthan Royals
Pankaj Singh,Rajasthan Royals
TL Suman,Mumbai Indians
HR Shokeen,Mumbai Indians
Arshad Khan,Mumbai Indians
DR Sams,Royal Challengers Bengaluru
LS Livingstone,Sunrisers Hyderabad
Harsh Dubey,Sunrisers Hyderabad
Shivang Kumar,Sunrisers Hyderabad
HV Patel,Sunrisers Hyderabad
BMAJ Mendis,Delhi Capitals
I Udana,Royal Challengers Bengaluru
CH Morris,Royal Challengers Bengaluru
DT Christian,Delhi Capitals
LE Plunkett,Delhi Capitals
B Lee,Punjab Kings
SP Jackson,Kolkata Knight Riders
TG Southee,Kolkata Knight Riders
SE Rutherford,Royal Challengers Bengaluru
DJ Willey,Royal Challengers Bengaluru
PWH de Silva,Royal Challengers Bengaluru
MP Yadav,Lucknow Super Giants
DS Rathi,Lucknow Super Giants
Mohsin Khan,Lucknow Super Giants
S Rana,Royal Challengers Bengaluru
TM Srivastava,Punjab Kings
Umar Gul,Kolkata Knight Riders
AP Majumdar,Pune Warriors
A Nehra,Pune Warriors
Mohammad Nabi,Mumbai Indians
G Coetzee,Mumbai Indians
MK Lomror,Royal Challengers Bengaluru
Vijaykumar Vyshak,Royal Challengers Bengaluru
RS Bopara,Sunrisers Hyderabad
TD Paine,Pune Warriors
MD Mishra,Pune Warriors
SB Wagh,Pune Warriors
AC Thomas,Pune Warriors
A Symonds,Mumbai Indians
PWA Mulder,Sunrisers Hyderabad
Mohammed Shami,Sunrisers Hyderabad
J Botha,Kolkata Knight Riders
M Muralitharan,Royal Challengers Bengaluru
AJ Finch,Kolkata Knight Riders
B Indrajith,Kolkata Knight Riders
Akash Deep,Royal Challengers Bengaluru
J Arunkumar,Royal Challengers Bengaluru
DT Patil,Royal Challengers Bengaluru
Abdur Razzak,Royal Challengers Bengaluru
R Vinay Kumar,Mumbai Indians
A Chandila,Rajasthan Royals
PA Reddy,Deccan Chargers
CA Lynn,Deccan Chargers
Abdul Basith,Rajasthan Royals
VG Arora,Kolkata Knight Riders
S Sohal,Punjab Kings
SM Katich,Punjab Kings
AC Voges,Rajasthan Royals
SD Chitnis,Mumbai Indians
CRD Fernando,Mumbai Indians
VS Yeligati,Mumbai Indians
DJ Hussey,Chennai Super Kings
AUK Pathan,Royal Challengers Bengaluru
P Dogra,Rajasthan Royals
A Uniyal,Rajasthan Royals
AJ Tye,Rajasthan Royals
MS Gony,Punjab Kings
JM Bairstow,Mumbai Indians
BKG Mendis,Gujarat Titans
Azmatullah Omarzai,Punjab Kings
Vishnu Vinod,Punjab Kings
SE Rutherford,Mumbai Indians
CJ Jordan,Chennai Super Kings
P Sahu,Punjab Kings
J Suchith,Delhi Capitals
TA Boult,Delhi Capitals
MS Wade,Delhi Capitals
RJ Peterson,Mumbai Indians
L Ablish,Punjab Kings
SW Billings,Delhi Capitals
Z Khan,Mumbai Indians
RS Sodhi,Punjab Kings
AJ Turner,Lucknow Super Giants
Yudhvir Singh,Lucknow Super Giants
Ravi Bishnoi,Lucknow Super Giants
CA Pujara,Royal Challengers Bengaluru
Q de Kock,Royal Challengers Bengaluru
Akash Deep,Lucknow Super Giants
Atharva Taide,Sunrisers Hyderabad
MM Ali,Kolkata Knight Riders
DW Steyn,Gujarat Lions
GC Viljoen,Punjab Kings
GH Vihari,Delhi Capitals
Avesh Khan,Delhi Capitals
S Lamichhane,Delhi Capitals
AC Blizzard,Mumbai Indians
SP Goswami,Royal Challengers Bengaluru
JDS Neesham,Mumbai Indians
FH Allen,Kolkata Knight Riders
PN Mankad,Lucknow Super Giants
Harbhajan Singh,Kolkata Knight Riders
YV Takawale,Mumbai Indians
RR Raje,Mumbai Indians
Naveen-ul-Haq,Lucknow Super Giants
FA Allen,Punjab Kings
Arshdeep Singh,Punjab Kings
M Markande,Sunrisers Hyderabad
GJ Bailey,Chennai Super Kings
PV Tambe,Gujarat Lions
S Kaushik,Gujarat Lions
J Yadav,Delhi Capitals
BR Dunk,Mumbai Indians
VR Aaron,Royal Challengers Bengaluru
AB Dinda,Royal Challengers Bengaluru
MS Gony,Deccan Chargers
NLTC Perera,Kochi Tuskers Kerala
S Sreesanth,Kochi Tuskers Kerala
RP Singh,Kochi Tuskers Kerala
Shivam Mavi,Kolkata Knight Riders
MG Johnson,Kolkata Knight Riders
M Theekshana,Rajasthan Royals
TU Deshpande,Rajasthan Royals
Sandeep Sharma,Rajasthan Royals
C Munro,Delhi Capitals
Kartik Tyagi,Kolkata Knight Riders
Krish Bhagat,Mumbai Indians
Atharva Taide,Punjab Kings
MW Short,Punjab Kings
Harpreet Singh,Punjab Kings
MN van Wyk,Kolkata Knight Riders
MC Henriques,Kolkata Knight Riders
S Anirudha,Chennai Super Kings
SB Styris,Chennai Super Kings
TK Curran,Delhi Capitals
Azhar Mahmood,Kolkata Knight Riders
H Das,Deccan Chargers
DNT Zoysa,Deccan Chargers
SD Chitnis,Punjab Kings
SP Goswami,Sunrisers Hyderabad
MJ Guptill,Sunrisers Hyderabad
Gurkeerat Singh,Royal Challengers Bengaluru
PVSN Raju,Mumbai Indians
DJ Hooda,Chennai Super Kings
Iqbal Abdulla,Royal Challengers Bengaluru
Q de Kock,Kolkata Knight Riders
BA Bhatt,Punjab Kings
SA Abbott,Sunrisers Hyderabad
S Gopal,Sunrisers Hyderabad
D Kalyankrishna,Deccan Chargers
RR Sarwan,Punjab Kings
C Munro,Kolkata Knight Riders
Ankit Sharma,Deccan Chargers
KV Sharma,Royal Challengers Bengaluru
A Mishra,Lucknow Super Giants
RR Rossouw,Punjab Kings
HV Patel,Punjab Kings
K Rabada,Punjab Kings
SJ Srivastava,Punjab Kings
AA Jhunjhunwala,Pune Warriors
K Upadhyay,Pune Warriors
Y Prithvi Raj,Kolkata Knight Riders
KC Cariappa,Kolkata Knight Riders
KJ Abbott,Punjab Kings
Navdeep Saini,Rajasthan Royals
RD Chahar,Punjab Kings
MK Tiwary,Punjab Kings
MDKJ Perera,Rajasthan Royals
R Shukla,Rajasthan Royals
VH Zol,Royal Challengers Bengaluru
JA Morkel,Royal Challengers Bengaluru
Mandeep Singh,Kolkata Knight Riders
CK Langeveldt,Kolkata Knight Riders
B Akhil,Kochi Tuskers Kerala
CR Brathwaite,Sunrisers Hyderabad
JO Holder,Rajasthan Royals
A Zampa,Rajasthan Royals
Saurav Chauhan,Royal Challengers Bengaluru
C Green,Royal Challengers Bengaluru
JJ Roy,Gujarat Lions
S Narwal,Kolkata Knight Riders
TG Southee,Mumbai Indians
Ravi Bishnoi,Rajasthan Royals
N Burger,Rajasthan Royals
RK Bhui,Sunrisers Hyderabad
KK Ahmed,Sunrisers Hyderabad
LH Ferguson,Kolkata Knight Riders
AB McDonald,Royal Challengers Bengaluru
J Syed Mohammad,Royal Challengers Bengaluru
VVS Laxman,Kochi Tuskers Kerala
M Muralitharan,Kochi Tuskers Kerala
N Jagadeesan,Chennai Super Kings
Vishnu Vinod,Royal Challengers Bengaluru
S Gopal,Mumbai Indians
M de Lange,Mumbai Indians
Sumit Kumar,Delhi Capitals
J Theron,Deccan Chargers
WP Saha,Chennai Super Kings
E Lewis,Rajasthan Royals
GD Phillips,Rajasthan Royals
DA Miller,Rajasthan Royals
C Sakariya,Rajasthan Royals
K Yadav,Rajasthan Royals
Mustafizur Rahman,Rajasthan Royals
P Chopra,Rajasthan Royals
T Stubbs,Mumbai Indians
MC Henriques,Royal Challengers Bengaluru
M Kartik,Royal Challengers Bengaluru
JD Unadkat,Royal Challengers Bengaluru
BA Stokes,Rising Pune Supergiants
SN Thakur,Rising Pune Supergiants
JD Unadkat,Rising Pune Supergiants
AF Milne,Royal Challengers Bengaluru
MK Pandey,Delhi Capitals
YV Dhull,Delhi Capitals
Mustafizur Rahman,Delhi Capitals
CJ Anderson,Royal Challengers Bengaluru
RR Bhatkal,Royal Challengers Bengaluru
DB Ravi Teja,Sunrisers Hyderabad
KAJ Roach,Deccan Chargers
Washington Sundar,Rising Pune Supergiants
DV Malewar,Mumbai Indians
Mohammed Siraj,Gujarat Titans
R Sanjay Yadav,Mumbai Indians
YV Takawale,Royal Challengers Bengaluru
NS Naik,Kolkata Knight Riders
A Mukund,Chennai Super Kings
HH Gibbs,Mumbai Indians
SB Jakati,Chennai Super Kings
L Balaji,Chennai Super Kings
M Muralitharan,Chennai Super Kings
MM Sharma,Gujarat Titans
SH Johnson,Gujarat Titans
Simarjeet Singh,Sunrisers Hyderabad
P Kumar,Sunrisers Hyderabad
BAW Mendis,Kolkata Knight Riders
AB Dinda,Kolkata Knight Riders
NLTC Perera,Mumbai Indians
PD Salt,Delhi Capitals
C Sakariya,Delhi Capitals
VG Arora,Punjab Kings
S Nadeem,Sunrisers Hyderabad
A Flintoff,Chennai Super Kings
Joginder Sharma,Chennai Super Kings
T Thushara,Chennai Super Kings
JJ van der Wath,Royal Challengers Bengaluru
R Ninan,Royal Challengers Bengaluru
LH Ferguson,Gujarat Titans
Yash Dayal,Gujarat Titans
Sediqullah Atal,Delhi Capitals
Arshad Khan (2),Lucknow Super Giants
JE Taylor,Pune Warriors
CR Woakes,Royal Challengers Bengaluru
T Kohler-Cadmore,Rajasthan Royals
M Ntini,Chennai Super Kings
Mujeeb Ur Rahman,Sunrisers Hyderabad
MD Shanaka,Gujarat Titans
Mohammed Shami,Gujarat Titans
KMDN Kulasekara,Chennai Super Kings
VRV Singh,Punjab Kings
U Kaul,Punjab Kings
JO Holder,Lucknow Super Giants
PJ Sangwan,Mumbai Indians
B Stanlake,Sunrisers Hyderabad
Parvez Rasool,Royal Challengers Bengaluru
DE Bollinger,Chennai Super Kings
Sunny Gupta,Delhi Capitals
VR Aaron,Delhi Capitals
T Banton,Kolkata Knight Riders
AM Rahane,Mumbai Indians
S Tyagi,Chennai Super Kings
AB Agarkar,Delhi Capitals
BCJ Cutting,Rajasthan Royals
Imran Tahir,Delhi Capitals
S Kaul,Delhi Capitals
AA Noffke,Royal Challengers Bengaluru
H Klaasen,Royal Challengers Bengaluru
CA Pujara,Kolkata Knight Riders
OA Shah,Kolkata Knight Riders
A Mukund,Royal Challengers Bengaluru
Musheer Khan,Punjab Kings
KA Jamieson,Punjab Kings
Kumar Kushagra,Delhi Capitals
LB Williams,Delhi Capitals
AB McDonald,Delhi Capitals
RG More,Chennai Super Kings
DS Kulkarni,Mumbai Indians
JO Holder,Gujarat Titans
IR Jaggi,Kolkata Knight Riders
AS Rajpoot,Kolkata Knight Riders
S Narwal,Rajasthan Royals
KB Arun Karthik,Chennai Super Kings
SB Jakati,Gujarat Lions
JC Archer,Mumbai Indians
JD Unadkat,Lucknow Super Giants
T Henderson,Rajasthan Royals
SS Shaikh,Kolkata Knight Riders
Swapnil Singh,Royal Challengers Bengaluru
Mukesh Kumar,Delhi Capitals
I Sharma,Delhi Capitals
SD Chitnis,Rajasthan Royals
C Nanda,Mumbai Indians
KS Williamson,Gujarat Titans
BR Sharath,Gujarat Titans
DG Nalkande,Gujarat Titans
UT Yadav,Gujarat Titans
AP Tare,Delhi Capitals
MA Agarwal,Rising Pune Supergiants
DL Chahar,Rising Pune Supergiants
AB Dinda,Rising Pune Supergiants
Imran Tahir,Rising Pune Supergiants
F Behardien,Punjab Kings
JL Pattinson,Mumbai Indians
GB Hogg,Rajasthan Royals
MD Shanaka,Rajasthan Royals
SS Mishra,Rajasthan Royals
Salil Arora,Sunrisers Hyderabad
E Malinga,Sunrisers Hyderabad
Sakib Hussain,Sunrisers Hyderabad
BE Hendricks,Punjab Kings
MJ Suthar,Gujarat Titans
M Vohra,Lucknow Super Giants
KS Sharma,Lucknow Super Giants
AT Carey,Delhi Capitals
PVD Chameera,Lucknow Super Giants
MK Pandey,Mumbai Indians
JDS Neesham,Delhi Capitals
S Sreesanth,Rajasthan Royals
SS Tiwary,Delhi Capitals
RS Gavaskar,Kolkata Knight Riders
SE Bond,Kolkata Knight Riders
MR Marsh,Rising Pune Supergiants
N Sindhu,Gujarat Titans
P Kumar,Mumbai Indians
PJ Sangwan,Gujarat Lions
C Madan,Mumbai Indians
EJG Morgan,Punjab Kings
R Tewatia,Punjab Kings
I Sharma,Punjab Kings
DJ Muthuswami,Delhi Capitals
HE van der Dussen,Rajasthan Royals
Vijaykumar Vyshak,Punjab Kings
R Vinay Kumar,Kolkata Knight Riders
Ankit Sharma,Rising Pune Supergiants
M Ashwin,Rising Pune Supergiants
AN Ahmed,Mumbai Indians
BAW Mendis,Pune Warriors
Azmatullah Omarzai,Gujarat Titans
SZ Mulani,Mumbai Indians
AD Nath,Punjab Kings
SN Thakur,Mumbai Indians
MG Bracewell,Royal Challengers Bengaluru
DJ Malan,Punjab Kings
AG Murtaza,Mumbai Indians
MR Marsh,Sunrisers Hyderabad
T Natarajan,Sunrisers Hyderabad
MJ Owen,Punjab Kings
PWH de Silva,Rajasthan Royals
KT Maphaka,Rajasthan Royals
P Ray Barman,Royal Challengers Bengaluru
A Tomar,Kolkata Knight Riders
KW Richardson,Royal Challengers Bengaluru
Mukesh Choudhary,Chennai Super Kings
PP Hinge,Sunrisers Hyderabad
S Sriram,Royal Challengers Bengaluru
PJ Sangwan,Gujarat Titans
MP Breetzke,Lucknow Super Giants
Kamran Khan,Rajasthan Royals
EJG Morgan,Royal Challengers Bengaluru
JD Unadkat,Delhi Capitals
P Parameswaran,Royal Challengers Bengaluru
Tanush Kotian,Rajasthan Royals
KA Maharaj,Rajasthan Royals
D du Preez,Royal Challengers Bengaluru
Liton Das,Kolkata Knight Riders
KW Richardson,Pune Warriors
YA Abdulla,Punjab Kings
Simarjeet Singh,Chennai Super Kings
M Theekshana,Chennai Super Kings
Vivrant Sharma,Sunrisers Hyderabad
LH Ferguson,Punjab Kings
R Bishnoi,Royal Challengers Bengaluru
AJ Hosein,Sunrisers Hyderabad
PK Garg,Delhi Capitals
Ankit Soni,Gujarat Lions
Shivam Sharma,Punjab Kings
Brijesh Sharma,Rajasthan Royals
A Dananjaya,Mumbai Indians
Fazalhaq Farooqi,Rajasthan Royals
VS Malik,Punjab Kings
AS Rajpoot,Chennai Super Kings
P Dubey,Delhi Capitals
Mashrafe Mortaza,Kolkata Knight Riders
Parvez Rasool,Pune Warriors
R Shepherd,Lucknow Super Giants
Auqib Nabi,Delhi Capitals
T Natarajan,Delhi Capitals
TK Curran,Kolkata Knight Riders
SH Johnson,Kolkata Knight Riders
VS Malik,Rajasthan Royals
TA Boult,Kolkata Knight Riders
KK Ahmed,Chennai Super Kings
K Gowtham,Punjab Kings
Ravi Bishnoi,Punjab Kings
DR Sams,Delhi Capitals
SS Cottrell,Punjab Kings
P Parameswaran,Kochi Tuskers Kerala
IK Pathan,Gujarat Lions
TU Deshpande,Chennai Super Kings
RJ Gleeson,Chennai Super Kings
M Prasidh Krishna,Gujarat Titans
JA Richardson,Delhi Capitals
JE Root,Rajasthan Royals
KM Asif,Rajasthan Royals
CR Woakes,Delhi Capitals
Mohit Rathee,Punjab Kings
CJ Jordan,Sunrisers Hyderabad
JDS Neesham,Rajasthan Royals
MM Patel,Gujarat Lions
S Randiv,Chennai Super Kings
K Kartikeya,Rajasthan Royals
Akash Madhwal,Rajasthan Royals
CJ Jordan,Royal Challengers Bengaluru
RP Meredith,Mumbai Indians
JL Denly,Kolkata Knight Riders
CK Langeveldt,Royal Challengers Bengaluru
Mayank Dagar,Royal Challengers Bengaluru
RJW Topley,Royal Challengers Bengaluru
Mohammed Shami,Kolkata Knight Riders
Ashwani Kumar,Mumbai Indians
NM Coulter-Nile,Rajasthan Royals
Anuj Rawat,Rajasthan Royals
GR Napier,Mumbai Indians
FH Edwards,Deccan Chargers
M Tiwari,Delhi Capitals
SH Johnson,Chennai Super Kings
PM Sarvesh Kumar,Deccan Chargers
DP Vijaykumar,Deccan Chargers
AJ Finch,Rajasthan Royals
Swapnil Singh,Lucknow Super Giants
Mohammad Ashraful,Mumbai Indians
A Nehra,Sunrisers Hyderabad
V Pratap Singh,Deccan Chargers
D Ferreira,Delhi Capitals
AR Bawne,Delhi Capitals
Aman Hakim Khan,Kolkata Knight Riders
SU Parakh,Delhi Capitals
T Dahiya,Kolkata Knight Riders
SR Dubey,Kolkata Knight Riders
SN Thakur,Punjab Kings
DR Martyn,Rajasthan Royals
Ravi Singh,Rajasthan Royals
AF Milne,Rajasthan Royals
AB Dinda,Delhi Capitals
Arjun Tendulkar,Mumbai Indians
MJ Lumb,Deccan Chargers
Sachin Baby,Rajasthan Royals
S Sriram,Delhi Capitals
L Wood,Mumbai Indians
CA Lynn,Mumbai Indians
M Jansen,Mumbai Indians
M Prasidh Krishna,Rajasthan Royals
YS Chahal,Rajasthan Royals
KR Sen,Rajasthan Royals
AM Ghazanfar,Mumbai Indians
PSP Handscomb,Rising Pune Supergiants
DAJ Bracewell,Delhi Capitals
PJ Sangwan,Kolkata Knight Riders
WD Parnell,Royal Challengers Bengaluru
DA Payne,Sunrisers Hyderabad
Shivam Singh,Punjab Kings
KA Jamieson,Delhi Capitals
P Dogra,Kolkata Knight Riders
Shoaib Akhtar,Kolkata Knight Riders
WD Parnell,Delhi Capitals
LH Ferguson,Royal Challengers Bengaluru
KS Rathore,Rajasthan Royals
RD Chahar,Rising Pune Supergiants
LH Ferguson,Rising Pune Supergiants
Y Gnaneswara Rao,Kochi Tuskers Kerala
Harmeet Singh,Deccan Chargers
UA Birla,Pune Warriors
M Rawat,Pune Warriors
Akash Madhwal,Mumbai Indians
Parvez Rasool,Sunrisers Hyderabad
T Shamsi,Rajasthan Royals
A Nortje,Lucknow Super Giants
